canonical_id,title,author,orig_year,publication_year,description,source_flag,n_voters
OL:OL10432709W,The Brothers Karamazov,Fyodor Dostoevsky,1880,1880,"In a Russian town, the brothers Dmitri, Ivan, and Alexei Karamazov clash with their dissolute father Fyodor, whose murder brings suspicion onto Dmitri and a trial. A novel known for its debates on faith, doubt, and morality, including the parable of the Grand Inquisitor.",Wikipedia,22
OL:OL166894W,Crime and Punishment,Fyodor Dostoevsky,1866,1866,"In St. Petersburg, the impoverished former student Raskolnikov murders a pawnbroker to test his theory that some men are above moral law, then is consumed by guilt as the detective Porfiry circles him. Known for its psychological study of crime and conscience.",Wikipedia,20
K:3b04f3eef439,Stories of Flannery O'Connor,Flannery O’Connor,,1971,"A collection of thirty-one short stories set largely in the rural American South, including ""A Good Man Is Hard to Find"" and ""Everything That Rises Must Converge,"" many ending in sudden violence or revelation. Awarded the National Book Award for Fiction and known for its dark comedy and Catholic themes.",Wikipedia,20
OL:OL495470W,Invisible Man,Ralph Ellison,1952,1952,"An unnamed Black narrator recounts his journey from a Southern college through Harlem and a political organization called the Brotherhood, concluding that society refuses to see him. A novel known for its treatment of race and identity, and winner of the National Book Award.",Wikipedia,19
OL:OL1168083W,Nineteen Eighty-Four,George Orwell,1949,1949,"In the totalitarian superstate of Oceania, the party functionary Winston Smith secretly rebels against the surveillance of Big Brother and begins an affair with Julia before the Thought Police catch them. A dystopian novel known for concepts like doublethink, Newspeak, and Room 101.",Wikipedia,19
K:6b584d1b9428,Stories of Anton Chekhov,Anton Chekhov,,c. 1880–1904,"A collection of short stories set across Russia, depicting peasants, doctors, clerks, and gentry in works such as ""The Lady with the Dog"" and ""Ward No. 6."" Known for their understated realism and lack of conventional moralizing.",FLAG: no single English Wikipedia page for this exact collection — grounded in Anton Chekhov bibliography and individual story pages on English Wikipedia,18
OL:OL498463W,The Trial,Franz Kafka,1925,1925,"The bank official Josef K. is arrested one morning by unidentified agents for a crime that is never named, and is drawn into a baffling, faceless legal bureaucracy as he tries to defend himself. A novel known for its nightmarish portrayal of an opaque justice system.",Wikipedia,18
OL:OL59048W,The Remains of the Day,Kazuo Ishiguro,1989,1989,"The English butler Stevens takes a motoring trip across the countryside in 1956, recalling his decades of service at Darlington Hall and his repressed feelings for the housekeeper Miss Kenton. A novel known for its restrained narration and winner of the Booker Prize.",Wikipedia,17
OL:OL82870W,The Sound and the Fury,William Faulkner,1929,1929,"The decline of the Compson family in Mississippi is told in four sections, including ones narrated by the disabled Benjy and the suicidal Quentin, circling the lost sister Caddy. A novel known for its stream-of-consciousness narration and fractured chronology.",Wikipedia,16
K:fbe28ea907ef,Hamlet,William Shakespeare,1600,c. 1600,"Prince Hamlet of Denmark is visited by the ghost of his murdered father, who names his uncle Claudius as the killer, and Hamlet feigns madness while plotting revenge as the court spirals toward death. A tragedy famous for its soliloquies and its hero's hesitation.",Wikipedia,16
OL:OL627081W,Pale Fire,Vladimir Nabokov,1962,1962,"The exiled scholar Charles Kinbote edits a 999-line poem by the recently murdered American poet John Shade, filling his foreword, commentary, and index with a delusional tale of his own escape as the deposed king of distant Zembla. A novel built entirely as a poem with annotations, leaving its true authorship in doubt.",Wikipedia,16
OL:OL457179W,Midnight's Children,Salman Rushdie,1981,1981,"Saleem Sinai, born at the stroke of midnight as India gains independence on August 15, 1947, finds himself telepathically linked to the other children born that hour and narrates his family's history against the nation's turbulent decades. It won the Booker Prize and was later named the best of the prize's first twenty-five years.",Wikipedia,16
OL:OL23205W,The Grapes of Wrath,John Steinbeck,1939,1939,"The Joad family, driven off their Oklahoma farm by drought and the Dust Bowl, load a truck and migrate to California seeking work, only to meet exploitation and hardship in the migrant camps. It won the Pulitzer Prize and became a defining account of the Great Depression.",Wikipedia,15
K:d2d9f9b0f145,"Absalom, Absalom!",William Faulkner,1936,1936,"Quentin Compson and others piece together the rise and fall of Thomas Sutpen, a poor man who builds a Mississippi plantation dynasty before the Civil War and is destroyed by his own designs and the secrets of his children. A novel told through layered, conflicting narrators reconstructing the same Southern past.",Wikipedia,15
OL:OL891786W,Things Fall Apart,Chinua Achebe,1958,1958,"Okonkwo, a respected wrestler and yam farmer in the Igbo village of Umuofia, governs his household by strength and pride until the arrival of British missionaries and colonial administrators unravels his world. One of the most widely read works of African literature, written in English.",Wikipedia,15
OL:OL26437W,The Prime of Miss Jean Brodie,Muriel Spark,1961,1961,"At a girls' school in 1930s Edinburgh, the charismatic teacher Jean Brodie grooms a chosen set of pupils with her ideas on art, love, and fascism, until one of them betrays her. A short novel that moves back and forth in time to reveal which girl turns against her.",Wikipedia,14
OL:OL8662242W,David Copperfield,Charles Dickens,,1850,"David Copperfield recounts his life from a harsh childhood under his cruel stepfather Murdstone, through schooling, work, and marriage, encountering figures such as Mr. Micawber, Uriah Heep, and his aunt Betsey Trotwood. A largely autobiographical novel issued in monthly serial parts.",Wikipedia,14
K:04ef5684be62,Dubliners,James Joyce,1916,1914,"Fifteen short stories trace the lives of Dublin residents, moving from childhood through adolescence and maturity to public life, and closing with ""The Dead,"" in which Gabriel Conroy confronts his wife's buried memory. A collection known for its precise realism and moments of sudden self-recognition.",Wikipedia,13
OL:OL42718662W,"Rabbit, Run",John Updike,1960,1960,"Harry ""Rabbit"" Angstrom, a twenty-six-year-old former high school basketball star stuck in a dull job and marriage in small-town Pennsylvania, abruptly abandons his pregnant wife and drifts between her and a part-time prostitute. The first of four novels following Rabbit across the decades.",Wikipedia,13
OL:OL463820W,Rabbit Is Rich,John Updike,1981,1981,"Now in his forties and running his late father-in-law's Toyota dealership during the 1979 energy crisis, Harry ""Rabbit"" Angstrom enjoys new prosperity while contending with his troubled adult son Nelson. The third Rabbit novel, which won the Pulitzer Prize.",Wikipedia,13
OL:OL463809W,Rabbit at Rest,John Updike,1990,1990,"An aging, heart-troubled Harry ""Rabbit"" Angstrom, semi-retired in Florida and still tangled with his son Nelson's addictions and the family business, moves toward a final reckoning with his own mortality. The fourth and last Rabbit novel, which won the Pulitzer Prize.",Wikipedia,13
OL:OL40879W,Blood Meridian,Cormac McCarthy,1985,1985,"A runaway teenager known as the kid falls in with the Glanton gang of scalp hunters along the Texas-Mexico borderlands around 1850, riding through relentless massacres dominated by the enormous, philosophizing Judge Holden. A novel known for its extreme violence and dense prose.",Wikipedia,13
OL:OL38663W,Heart of Darkness,Joseph Conrad,1899,1899,"The seaman Marlow recounts his journey up the Congo River for a Belgian trading company to find Kurtz, an ivory agent who has set himself up as a godlike ruler among the people of the interior. A novella widely read as a study of imperialism and moral corruption.",Wikipedia,13
K:5fcc86b529ea,Rabbit Redux,John Updike,1971,1971,"Harry ""Rabbit"" Angstrom, now a aging-feeling typesetter whose wife has left him, takes a young runaway and a Black radical named Skeeter into his Pennsylvania home as the country churns through 1969. The second Rabbit novel, set against the moon landing and racial unrest.",Wikipedia,12
OL:OL98491W,The Age of Innocence,Edith Wharton,1920,1920,"In 1870s upper-class New York, the lawyer Newland Archer is engaged to the conventional May Welland when he falls for her unconventional cousin, the Countess Ellen Olenska, who has fled a bad European marriage. It won the Pulitzer Prize and dissects the rigid codes of Gilded Age society.",Wikipedia,12
OL:OL14866824W,The Magic Mountain,Thomas Mann,1924,1924,"Hans Castorp, a young engineer, visits his cousin at a tuberculosis sanatorium high in the Swiss Alps for three weeks and ends up staying seven years, drawn into illness, ideas, and debates among the patients. A long novel of ideas set just before the First World War.",Wikipedia,12
OL:OL50564W,Song of Solomon,Toni Morrison,1977,1977,"Macon ""Milkman"" Dead, born into a well-off Black family in Michigan, travels south to trace his ancestry and a rumored cache of gold, uncovering his family's history of flight and a legend of an ancestor who flew back to Africa. It won the National Book Critics Circle Award.",Wikipedia,12
OL:OL675783W,The Handmaid's Tale,Margaret Atwood,1985,1985,"In the near-future theocracy of Gilead, which has overthrown the United States, the handmaid Offred is assigned to a Commander's household to bear children for the ruling class amid widespread infertility. A dystopian novel narrated by a woman reduced to her reproductive role.",Wikipedia,12
K:bc4aa7549271,King Lear,William Shakespeare,1605,c. 1605,"The aging King Lear divides his kingdom among his daughters by how much they flatter him, banishing the honest Cordelia and falling into madness after the scheming Goneril and Regan turn on him. A tragedy paired with a subplot of the betrayed Earl of Gloucester and his sons.",Wikipedia,11
OL:OL3140822W,To Kill a Mockingbird,Harper Lee,1960,1960,"In Depression-era Maycomb, Alabama, young Scout Finch watches her lawyer father Atticus defend Tom Robinson, a Black man falsely accused of raping a white woman, while she and her brother puzzle over their reclusive neighbor Boo Radley. It won the Pulitzer Prize and became a standard of American school reading.",Wikipedia,11
OL:OL26860869W,Frankenstein,Mary Shelley,1818,1818,"The scientist Victor Frankenstein assembles a living creature from dead matter, then flees in horror as the rejected being, denied companionship, turns to vengeance against his maker's family. An early work of science fiction told through nested narratives.",Wikipedia,11
OL:OL509889W,The Good Soldier,Ford Madox Ford,1915,1915,"John Dowell slowly pieces together how his wife Florence and his friend Edward Ashburnham carried on a long affair at a German spa, exposing the wreckage beneath two outwardly proper marriages. A novel told out of sequence by an unreliable narrator.",Wikipedia,11
OL:OL1230613W,The Outsider,Albert Camus,1942,1942,"Meursault, a detached French Algerian clerk, shows no grief at his mother's funeral and later shoots an Arab man on a sunlit Algiers beach, then faces trial more for his indifference than for the killing. A novel associated with absurdist philosophy and its emotionally flat narration.",Wikipedia,11
OL:OL151411W,Alice's Adventures in Wonderland,Lewis Carroll,1865,1865,"A bored girl named Alice follows a waistcoated white rabbit down a hole and wanders an underground world of riddles and changing sizes, meeting the Cheshire Cat, the Mad Hatter, and the Queen of Hearts. A children's book famous for its nonsense logic and wordplay.",Wikipedia,10
OL:OL41225848W,A Portrait of the Artist as a Young Man,James Joyce,1916,1916,"Stephen Dedalus grows up in late nineteenth-century Ireland, moving from a strict Catholic boyhood and Jesuit schooling toward a decision to reject religion and country and devote himself to art. A semi-autobiographical novel whose style matures alongside its protagonist.",Wikipedia,10
K:de8ae851971a,The Odyssey,Homer,,c. 8th century BCE,"The Greek hero Odysseus spends ten years struggling home from the Trojan War, surviving the Cyclops, Circe, the Sirens, and the wrath of Poseidon, while his wife Penelope holds off suitors in Ithaca. An ancient Greek epic poem and a foundation of Western literature.",Wikipedia,10
OL:OL16313W,Vanity Fair,William Makepeace Thackeray,1848,1848,"Across early nineteenth-century England, the scheming, penniless Becky Sharp climbs through society by any means while her gentle schoolmate Amelia Sedley suffers in love and fortune. A satirical novel subtitled ""A Novel without a Hero.""",Wikipedia,10
OL:OL2386322W,The Leopard,Giuseppe Tomasi di Lampedusa,1958,1958,"As Garibaldi's troops land in Sicily in 1860, the aristocrat Don Fabrizio, Prince of Salina, watches his class lose power to a rising middle order while his nephew Tancredi marries into new money. A historical novel published after its author's death.",Wikipedia,10
OL:OL27778127W,Their Eyes Were Watching God,Zora Neale Hurston,1937,1937,"Janie Crawford returns to her Florida town and recounts her life through three marriages, finding independence and love with the younger Tea Cake before tragedy strikes during a hurricane. A novel notable for its use of Black Southern vernacular speech.",Wikipedia,10
OL:OL464512W,Wolf Hall,Hilary Mantel,2009,2009,"In Tudor England, the blacksmith's son Thomas Cromwell rises to become Henry VIII's chief minister, engineering the king's break with Rome and divorce from Catherine of Aragon so he can marry Anne Boleyn. It won the Booker Prize.",Wikipedia,10
OL:OL1052133W,The God of Small Things,Arundhati Roy,1997,1997,"In Kerala, India, the twins Rahel and Estha reunite as adults and recall the childhood day in 1969 when a visiting cousin drowned and their family was torn apart by a forbidden love across caste lines. It won the Booker Prize.",Wikipedia,10
OL:OL62979W,The Sun Also Rises,Ernest Hemingway,1926,1926,"A group of American and British expatriates, including the wounded veteran Jake Barnes and Lady Brett Ashley, drift from Paris cafés to the bullfights at the Pamplona fiesta, drinking and chasing one another. A novel associated with the disillusioned postwar ""Lost Generation.""",Wikipedia,9
OL:OL98459W,Slaughterhouse-Five,Kurt Vonnegut,1969,1969,"Billy Pilgrim, an American optometrist and World War II veteran who survived the firebombing of Dresden as a prisoner of war, becomes ""unstuck in time"" and is abducted by aliens from the planet Tralfamadore. An anti-war novel that mixes autobiography, science fiction, and a fractured chronology to depict the Dresden bombing.",Wikipedia,9
OL:OL12791W,My Ántonia,Willa Cather,1918,1918,"Jim Burden recalls his Nebraska boyhood and his friendship with Ántonia Shimerda, the daughter of Bohemian immigrant homesteaders, as the two grow up on the prairie and follow separate paths into adulthood. Known for its portrait of immigrant pioneers and frontier life on the Great Plains.",Wikipedia,9
OL:OL3335245W,The Catcher in the Rye,J. D. Salinger,1951,1951,"Holden Caulfield, a teenager recently expelled from his prep school, wanders New York City over a few days, avoiding home and meeting old friends, teachers, and strangers while narrating his disgust with ""phonies."" Told in colloquial first-person voice, it became a defining novel of adolescent alienation.",Wikipedia,9
OL:OL93082W,The Divine Comedy,Dante Alighieri,1321,c. 1308–1321,"The poet, guided first by the Roman poet Virgil and later by Beatrice, journeys through Hell, Purgatory, and Paradise, meeting damned, penitent, and blessed souls across the three realms of the afterlife. An epic poem in Italian terza rima that became a foundational work of Western literature.",Wikipedia,9
OL:OL103066W,The Transit of Venus,Shirley Hazzard,1980,1980,"Two orphaned Australian sisters, Caro and Grace Bell, settle in England in the 1950s, where the astronomer Ted Tice loves Caro while she pursues the unscrupulous playwright Paul Ivory across three decades. Known for its compressed prose, ironic foreshadowing, and its tracing of love and fate.",Wikipedia,9
OL:OL1875010W,Housekeeping,Marilynne Robinson,1980,1980,"After their mother's suicide, sisters Ruth and Lucille are raised in the Idaho town of Fingerbone by a succession of relatives and finally by their drifting aunt Sylvie, whose unconventional ways pull the girls in opposite directions. Known for its prose and its themes of transience and loss.",Wikipedia,9
OL:OL500451W,Disgrace,JM Coetzee,1999,1999,"David Lurie, a Cape Town professor disgraced after an affair with a student, retreats to his daughter Lucy's smallholding, where a brutal attack by three men forces both of them to confront violence and powerlessness in post-apartheid South Africa. Won the Booker Prize.",Wikipedia,9
OL:OL31259W,The Golden Notebook,Doris Lessing,1962,1962,"The writer Anna Wulf keeps four colored notebooks recording different parts of her life—politics, her African past, a novel, and her emotional breakdown—which she tries to unify in a fifth, golden notebook. Known for its fragmented structure and its treatment of women's inner lives and 1950s communism.",Wikipedia,9
OL:OL468485W,Tender Is the Night,F. Scott Fitzgerald,1934,1934,"Dick Diver, a promising American psychiatrist, marries his wealthy patient Nicole, and the couple's glamorous life among expatriates on the French Riviera slowly unravels as his career and marriage decline. Known for its account of expatriate decadence and a deteriorating marriage in the 1920s.",Wikipedia,8
OL:OL676009W,The Master and Margarita,Mikhail Bulgakov,1966,1967,"The Devil, calling himself Professor Woland, arrives in atheist Soviet Moscow with a retinue including a talking black cat and wreaks havoc, while a parallel narrative retells Pontius Pilate's judgment of Yeshua and the imprisoned Master writes a novel about it. A satire of Soviet society combining comedy and the supernatural.",Wikipedia,8
OL:OL82929W,As I Lay Dying,William Faulkner,1930,1930,"The Bundren family of rural Mississippi hauls the coffin of their mother, Addie, across flooded country to bury her in Jefferson, each member narrating chapters that reveal private motives behind the funeral journey. Told through fifteen narrators in stream-of-consciousness chapters.",Wikipedia,8
OL:OL39316W,The Waves,Virginia Woolf,1931,1931,"Six friends—Bernard, Susan, Rhoda, Neville, Jinny, and Louis—speak in alternating interior monologues that follow them from childhood to old age, punctuated by descriptions of the sun crossing the sea over a single day. An experimental novel built almost entirely from soliloquies.",Wikipedia,8
OL:OL41368739W,Our Mutual Friend,Charles Dickens,,1865,"The presumed-drowned John Harmon returns to London under an assumed name to observe Bella Wilfer, the woman he must marry to claim his father's fortune, while the dust-heap inheritance entangles the Boffins, the Wilfers, and a cast of schemers along the Thames. The author's last completed novel, a satire of money and class.",Wikipedia,8
OL:OL88881W,Howards End,EM Forster,1910,1910,"The cultured, half-German Schlegel sisters, Margaret and Helen, become entangled with the wealthy, business-minded Wilcox family and the struggling clerk Leonard Bast, with the country house Howards End at the center of their conflicting claims. Known for its examination of class and connection in Edwardian England.",Wikipedia,8
OL:OL26099415W,The Golden Bowl,Henry James,1904,1904,"The American widower Adam Verver and his daughter Maggie each marry—she to the impoverished Italian prince Amerigo, he to Maggie's friend Charlotte—not knowing that the prince and Charlotte were once lovers and resume their affair. A late novel known for its dense style and study of marriage and adultery.",Wikipedia,8
OL:OL1858668W,Wide Sargasso Sea,Jean Rhys,1966,1966,"On a Jamaican estate after emancipation, the Creole heiress Antoinette Cosway endures a troubled marriage to an unnamed Englishman who renames her Bertha and takes her to England. A reimagining of the madwoman in Jane Eyre that explores colonialism, race, and identity in the Caribbean.",Wikipedia,7
OL:OL274518W,Love in the Time of Cholera,Gabriel García Márquez,1985,1985,"In a Caribbean port city, Florentino Ariza waits more than fifty years for Fermina Daza, who married the doctor Juvenal Urbino, and renews his courtship after Urbino dies in old age. Known for its treatment of love, aging, and patience over half a century.",Wikipedia,7
K:a63cc765d5fe,Stories of John Cheever,John Cheever,,1978,"Sixty-one stories follow suburban commuters, fading aristocrats, and adulterers through New York apartments and the Westchester suburbs, including ""The Enormous Radio,"" ""The Country Husband,"" and ""The Swimmer."" A collected volume that won the Pulitzer Prize for Fiction.",Wikipedia,7
K:ef3be8623dfc,Stories of Isaac Babel,Isaac Babel,,1920–1931,"Stories drawn chiefly from Red Cavalry, which follows a Jewish intellectual riding with Cossack troops during the 1920 Polish-Soviet war, and the Odessa Tales, which depict Jewish gangsters in the Moldavanka district. Known for compressed, vivid prose and scenes of war and Jewish life.","FLAG: collected English volume (The Collected Stories, 1955); year range reflects original Russian story publication",7
OL:OL67334W,The Tin Drum,Günter Grass,1959,1959,"In postwar Danzig, Oskar Matzerath, who willed himself to stop growing at age three and carries a tin drum, narrates his life from a mental institution, recounting his family and the city through the Nazi era. The first novel of the Danzig Trilogy, known for its grotesque comedy and treatment of German guilt.",Wikipedia,7
OL:OL98587W,The House of Mirth,Edith Wharton,1905,1905,"Lily Bart, a beautiful but unmarried woman of New York high society, gambles her dwindling resources on finding a rich husband, but missteps and gossip steadily push her down the social ladder. Known for its critique of the marriage market in Gilded Age New York.",Wikipedia,7
OL:OL455305W,The Scarlet Letter,Nathaniel Hawthorne,1850,1850,"In Puritan Boston, Hester Prynne bears a child out of wedlock and is forced to wear a scarlet ""A,"" refusing to name the father, the minister Arthur Dimmesdale, while her vengeful husband Roger Chillingworth hunts him. Known for its treatment of sin, guilt, and Puritan hypocrisy.",Wikipedia,7
OL:OL273644W,The Color Purple,Alice Walker,1982,1982,"In rural early-twentieth-century Georgia, Celie, a poor Black woman abused by her father and husband, writes letters to God and to her sister Nettie, gradually finding strength through the blues singer Shug Avery and other women. An epistolary novel that won the Pulitzer Prize.",Wikipedia,7
OL:OL276798W,Catch-22,Joseph Heller,1962,1961,"Captain John Yossarian, a World War II bombardier stationed on a Mediterranean island, tries to escape combat duty, but the catch-22 rule means anyone sane enough to want out must keep flying. A satire of war and bureaucracy built from circular logic and dark comedy.",Wikipedia,7
OL:OL103113W,A House for Mr Biswas,VS Naipaul,1961,1961,"Mohun Biswas, born into a poor Indo-Trinidadian family, marries into the domineering Tulsi clan and spends his life striving for independence and a house of his own in colonial Trinidad. Known for its tragicomic portrait of a man seeking dignity and a home.",Wikipedia,7
OL:OL74666W,American Pastoral,Philip Roth,1997,1997,"Seymour ""Swede"" Levov, a successful New Jersey businessman and former high-school athlete, sees his comfortable life destroyed when his teenage daughter Merry bombs a post office in protest of the Vietnam War. Won the Pulitzer Prize and traces an American family's collapse across postwar decades.",Wikipedia,7
OL:OL498556W,The Metamorphosis,Franz Kafka,1915,1915,"The traveling salesman Gregor Samsa wakes one morning transformed into a giant insect, and as he hides in his room his family shifts from concern to revulsion while he becomes a burden they wish to be rid of. A novella known for its treatment of alienation and dehumanization.",Wikipedia,7
OL:OL2980902W,A Fine Balance,Rohinton Mistry,1995,1995,"In 1970s India during the Emergency, the widow Dina Dalal takes in two tailors and a student boarder, and the four strangers form a fragile household amid poverty and state repression. Known for its panoramic depiction of caste, poverty, and political turmoil.",Wikipedia,7
OL:OL16520879W,My Brilliant Friend,Elena Ferrante,2011,2011,"In a poor Naples neighborhood in the 1950s, the narrator Elena Greco recounts her intense, competitive childhood friendship with the brilliant, volatile Lila Cerullo as the two girls grow up and pursue different futures. The first of the four Neapolitan Novels.",Wikipedia,7
OL:OL228702W,Giovanni's Room,James Baldwin,1956,1956,"David, a young American living in Paris, leaves his fiancée Hella while she travels and begins an affair with the Italian bartender Giovanni, struggling against his shame over his desire. A novel that treats homosexuality, denial, and self-deception.",Wikipedia,7
OL:OL4112928W,The Known World,Edward P. Jones,2003,2003,"In antebellum Manchester County, Virginia, Henry Townsend, a freed Black man, becomes himself a slaveholder, and after his death his plantation and its enslaved people fall into disorder. A novel about Black slaveowners in the American South that won the Pulitzer Prize.",Wikipedia,6
OL:OL733640W,The Red and the Black,Stendhal,1830,1830,"Julien Sorel, an ambitious carpenter's son in Restoration France, rises through the church and aristocratic society as a tutor and secretary while pursuing affairs with Madame de Rênal and Mathilde de la Mole. Known for its psychological portrait of ambition and hypocrisy.",Wikipedia,6
OL:OL501911W,Revolutionary Road,Richard Yates,1961,1961,"In 1950s suburban Connecticut, Frank and April Wheeler, who think themselves superior to their conformist neighbors, plan to move to Paris to escape their stifling lives, but the scheme collapses amid disappointment and recrimination. Known for its critique of suburban conformity.",Wikipedia,6
